Candidate,Gender ,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
Omeria Scott,1,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,-18.780001,24.200001,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,,
Victor Maurice Jr.,0,MS,U.S. Senate Mississippi,Senator,Regular,6/5/18,Lost,None,None,-18.780001,4.96,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,
Grant Kier,0,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,24.15,No,,No,No,No,No,Yes,No,,,No,,,,No,No,,,,,
Jared Pettinato,0,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,2.21,No,,No,No,No,No,No,No,,,No,,,,No,No,,,,,
John Heenan,0,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,31.709999,No,,No,No,No,Yes,No,No,,,No,,,,Yes,Yes,,,,,
John Meyer,0,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,3.3399999,No,,No,No,No,No,Yes,No,,,Yes,,,,No,No,,,,,
Kathleen Williams,1,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-21.41,33.52,Yes,,No,No,Yes,No,No,No,,,Yes,,,,No,No,,,,,
Lynda Moss,1,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,None,-21.41,5.0599999,No,,No,No,Yes,No,No,No,,,No,,,,No,No,,,,,
David Wilson Brown,0,NC,U.S. House North Carolina District 10,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-25.51,100,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Phillip Price,0,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-29.559999,40.59,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
